"","lake_name","core_number","sample_ID","sample_range","depth_top","depth_bottom","depth_plot","bd","d13C","percent.C","C.mar","d15N","percent.N","N.mar","C.N","fuco_nmol_gTC","allo_nmol_gTC","diato_nmol_gTC","lutein_nmol_gTC","cantha_nmol_gTC","chl_b_nmol_gTC","chl_a_nmol_gTC","chl_ap_nmol_gTC","echine_nmol_gTC","phaeo_b_nmol_gTC","pheo_a_nmol_gTC","b_car_nmol_gTC","chla_pheoa","chlb_pheob","all_chl","PI","AD_ratio","master_chl","perc_chlb","perc_diatox","fuco_flux","allo_flux","diato_flux","lutein_flux","cantha_flux","chl_b_flux","chl_a_flux","chl_ap_flux","echine_flux","phaeo_b_flux","pheo_a_flux","b_car_flux","year_CE_top","year_CE_plot","year_CE_bottom","duration","weight","s","year_top_extrap","year_plot_extrap","year_bottom_extrap"
"1","Upper Fourmile Lake",1,"UFM1_002","0.5-1",0.5,1,0.75,0.0972407573392418,-30.109518991873,9.72269294638255,0.00057960171581828,2.01798290195604,0.97483145513884,5.81129103992041e-05,9.97371688729289,13.9307781107664,135.868226249468,71.6443838400349,352.700641007485,9.93251679896163,241.720405974345,238.865442154513,101.673611036641,70.58004151995,291.95479270579,1024.05379956435,391.386776722589,1262.91924171887,533.675198680135,1364.59285275551,0.233254778465867,1.89642535767814,0.338994061580146,0.285097123637441,0.0567291885920789,0.00807430289568392,0.0787494570593782,0.0415252078024277,0.204425896698146,0.00575690377907206,0.140101562051022,0.138446820122448,0.0589301994102775,0.0409083131674885,0.169217498793646,0.593543339317729,0.226848447336999,2018.6266277446,2014.65242722902,2010.47066478176,8.15596296284571,1.01181460163587,0.0059613290167096,2018.18462046836,2014.7,2010.5
"2","Upper Fourmile Lake",1,"UFM1_004","1.5-2",1.5,2,1.75,0.136494508777221,-29.3513769113607,7.23886061034113,0.000629772197307823,2.00248490212398,0.69241052223547,6.02388855788093e-05,10.4545791519318,32.5653283790303,159.176367993334,102.772966192956,354.050931891722,27.0430562334264,206.382580620141,239.547943248891,122.550463507708,88.8804803956361,759.090678723747,462.97544980146,479.61460307237,702.523393050351,965.473259343888,825.07385655806,0.517409602067707,1.54881554838536,0.331641396150581,1.63959164368061,0.1462911658311,0.0205087384093127,0.10024485103064,0.0647235567431806,0.222971433336332,0.017030964946044,0.129974011283205,0.150860634580424,0.0771788746843417,0.0559744554365346,0.478054204695741,0.291569066321043,0.302047942437806,2002.10713988722,1997.92537743995,1994.26251982191,7.8446200653118,0.973189942441672,0.00869988014975944,2002.1,1997.9,1994.25
"3","Upper Fourmile Lake",1,"UFM1_006","2.5-3",2.5,3,2.75,0.134127700039804,-29.078948940283,7.04860740658946,0.000639937627250576,2.37103702623147,0.651659356863252,5.91636501441192e-05,10.8163986787787,12.8756211111916,81.3705172564999,51.668251487126,176.62960368097,15.7295161643255,101.981780602265,103.016695651741,65.965192733858,43.2119318012248,324.256722429814,213.541991780486,230.600758927458,316.558687432228,426.23850303208,382.523880166086,0.482418913454918,1.57486492990332,0.339534168730902,1.5184681931933,0.163218554847552,0.00823959442327337,0.0520720557412766,0.0330644582608575,0.11303192948181,0.010065909251998,0.0652619787014025,0.06592425978257,0.042213608919232,0.0276529411057895,0.207504077571784,0.136653555538367,0.147570102510219,1986.93680458582,1983.27394696778,1979.55004172276,7.38676286305622,0.916388973038458,0.00907892283307372,1986.95,1983.3,1979.575
"4","Upper Fourmile Lake",1,"UFM1_008","3.5-4",3.5,4,3.75,0.125798052089003,-29.2816700909143,6.43287076251952,0.000485564926365744,2.77970220720844,0.592819512828318,4.47471080519449e-05,10.8513141408395,7.3133543923803,53.8513841097193,35.2595061752954,116.730447235549,11.7180613676737,40.572527766823,140.255939029429,51.0023224095871,34.8581282467239,319.053254280442,195.561090049879,148.063501387796,335.817029079307,359.625782047265,386.819351488894,0.717197572347627,1.52728696318073,0.319701446986186,1.63147614997987,0.104996182808134,0.00355110838702273,0.0261483433599292,0.0171207795196998,0.0566802110165698,0.00568987960514375,0.0197005964575695,0.0681033647071827,0.0247649389252931,0.0169258844753682,0.154921069921434,0.0949576062900738,0.0718944431488193,1972.10223123274,1968.37832598773,1963.76923015169,8.33300108105118,1.03377764313844,0.00754818407350633,1972.125,1968.4,1963.775
"5","Upper Fourmile Lake",1,"UFM1_010","4.5-5",4.5,5,4.75,0.177674648848201,-29.3858008140505,6.17326739833846,0.000638934665840304,2.69622054192647,0.573858676229668,5.93945115086135e-05,10.757469833684,12.453776636749,69.4819624760737,50.6869912065935,141.163369561867,11.209925598816,34.0399100760642,72.7626164586712,45.8053180577813,35.5672774202691,399.585677772267,216.764486492226,174.645644448334,289.527102950898,433.625587848332,335.332421008679,0.335675910921324,1.37080463491854,0.161295238635137,1.84340933442802,0.175068208433633,0.007957149613851,0.0443944344765788,0.0323856757890353,0.090194170359903,0.00716241006657414,0.0217492785696841,0.0464905580326873,0.0292666055869574,0.022725166513369,0.255309141501995,0.138498344742956,0.111587156476061,1954.55103847961,1949.94194264357,1945.96774212799,8.58329635161772,1.06482883974555,0.0103500241381456,1954.525,1949.9,1948.496875
"6","Upper Fourmile Lake",1,"UFM1_012","5.5-6",5.5,6,5.75,0.175523035794149,-28.8473098660027,5.9311548072205,NA,2.77662531102734,0.543034267097624,NA,10.9222477596505,27.3185600531666,59.3523143202794,39.7491092752284,112.931679085133,7.57227952975421,30.750185453723,71.4353017736944,39.4976725297509,34.9315853904317,449.457867755751,223.81704969801,103.702842075234,295.252351471704,480.208053209474,334.750024001455,0.319168275473562,1.49317344218497,0.143363379377118,2.00814847824235,0.134627579008588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1945.690625,1944.2875,1942.884375
"7","Upper Fourmile Lake",1,"UFM1_014","6.5-7",6.5,7,6.75,0.138083228492819,-28.3458354650863,5.87024766866282,NA,2.75649489865562,0.540118339976876,NA,10.8688837254992,18.1029362078951,73.3240182230421,42.9797958954358,111.604928306973,9.57205792351233,25.5650133075446,108.633615591988,35.6353089073359,31.5474236299368,296.608048206549,192.846695463211,114.875938548618,301.480311055199,322.173061514093,337.115619962535,0.563315929946601,1.70601131753696,0.255572597958955,1.53805097616065,0.14256253002063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1940.078125,1938.675,1937.271875
"8","Upper Fourmile Lake",1,"UFM1_016","7.5-8",7.5,8,7.75,0.156654733424776,-28.6150022819602,7.03218086574799,NA,2.62686928015807,0.616268043766122,NA,11.4109127300729,8.5872927320892,64.0031368338212,41.4328748275564,104.139155812169,9.446577103423,45.1868905763224,70.6474836684433,51.4139186841711,34.8659694645653,304.992477475948,183.550139587901,122.637663505889,254.197623256344,350.179368052271,305.611541940516,0.384894742259843,1.54474284249409,0.214525367461839,1.66163032161514,0.162994737310244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934.465625,1933.0625,1931.659375
"9","Upper Fourmile Lake",1,"UFM1_018","8.5-9",8.5,9,8.75,0.14134426979021,-28.8821660261518,8.27904350155816,NA,2.75459869406607,0.70844190279918,NA,11.6862702062741,13.3144644947475,51.3102268238467,38.3768924082264,72.1206495473606,7.63450919032602,27.9478505951145,64.5134843726106,42.1380630699335,32.0888441869122,260.387673623226,179.930498425162,103.54214431707,244.443982797773,288.33552421834,286.582045867706,0.358546688511751,1.33700838197227,0.1916470930157,1.44715696283989,0.15699667453044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928.853125,1927.45,1926.046875
"10","Upper Fourmile Lake",1,"UFM1_020","9.5-10",9.5,10,9.75,0.159299973014539,-29.0944376806456,8.96114138595179,NA,2.70848298614155,0.758938679613976,NA,11.8074643270386,13.441818820018,38.5133021227844,31.2518760482478,75.4937765108553,6.37271675156445,41.2088629654502,85.1836762887423,45.9429390975471,31.831028850972,262.517403951795,184.422160762249,116.615277948606,269.605837050991,303.726266917245,315.548776148538,0.46189501270706,1.23235168549005,0.256435434970334,1.42345910527653,0.115916911852087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923.240625,1921.8375,1920.434375
